OBJECTID,NOME STRUTTURA,DESCRIZIONE,TIPO ATTIVITA',TIPO STRUTTURA,PRONTO SOCCORSO,PRONTO SOCCORSO PEDIATRICO,PUNTO DI PRIMO INTERVENTO,STRUTTURA  ACCREDITATA,INDIRIZZO,CAP,COMUNE,PROVINCIA,CODICE ATS,ATS,CODICE ASST,ASST,CODICE DISTRETTO SANITARIO,DISTRETTO SANITARIO,N° TELEFONO,LATITUDINE,LONGITUDINE
7084,"FONDAZIONE OSPEDALE DELLA CARITA' - CASA DI RIPOSO ONLUS",ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA GUGLIELMO MARCONI,1,26011,CASALBUTTANO ED UNITI,CR,030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,880,CREMONA,0374/361118,45.2484418,9.9625284
7085,FONDAZIONE CASA DI RIPOSO DI ROBECCO D'OGLIO ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,NO,VIA GIUSEPPE MAZZINI,31,26010,ROBECCO D'OGLIO,CR,030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,880,CREMONA,0372/920911,45.2575018,10.0801393
7086,ADI DELLA CASA DI RIPOSO MONTICELLO,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA GIUSEPPE SIRTORI,1,23876,MONTICELLO BRIANZA,LC,030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,854,MERATE,039/92304228,45.70772,9.312
7087,ADI ASST MANTOVA,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PUBBLICA,N/A,N/A,N/A,SI,STRADA LAGO PAIOLO,10,46100,MANTOVA,MN,030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,882,MANTOVA,0376334172/196,45.14478439,10.77436693
7088,ADI SOLIDARIETA' SRL,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA MANTOVA,6,46034,BORGO VIRGILIO,MN,030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,882,MANTOVA,0376641011,45.12012,10.78602
7089,MARTINENGO SOCIETA' COOPERATIVA SOCIALE A R.L. ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA FRANCESCO MARTINENGO,12,20139,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,812,MUNICIPIO 4,0257303632,45.4409794,9.2260037
7090,FONDAZIONE RICOVERO MARTINELLI,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA LAURA VICUNA,2,20092,CINISELLO BALSAMO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030707,ASST NORD MILANO,816,CINISELLO BALSAMO,02660541,45.5501118,9.219394
7091,ADI AQUA SRL,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA PONALE,66,20162,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,810,MUNICIPIO 9,0236552585,45.5235506,9.206095
7092,LINDE MEDICALE,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA GUIDO ROSSA,3,20004,ARLUNO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,819,MAGENTA,02/96248544,45.50068,8.95627
7093,FONDAZIONE DON CARLO GNOCCHI ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA MONTECASSINO,8,20900,MONZA,MB,030324,ATS DELLA BRIANZA,030716,ASST DI MONZA,855,MONZA,039/2304450,45.59063,9.28622
7094,ASSOCIAZIONE LIFE,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,NO,VIA GIAN GIACOMO TRIVULZIO,37,27029,VIGEVANO,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,893,VIGEVANO,0381-690880,45.31829,8.85183
7095,FONDAZIONE CONTE FRANCO CELLA,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA EMILIA,328,27043,BRONI,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,886,BRONI-STRADELLA,0385-257111,45.06539,9.26485
7096,ADI GRANDANGOLO,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA DON LUIGI GUANELLA,19/B,23100,SONDRIO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,847,SONDRIO,0342/214445,46.16423,9.86576
7097,AZZURRA SOCIETA' COOPERATIVA SOCIALE ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA LEDRO,5,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332332783,45.82002,8.83963
7098,AZZURRA SOCIETA' COOPERATIVA SOCIALE ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,NO,VIA LEDRO,5,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0331482990,45.82002,8.83963
7099,ADI FONDAZIONE RAIMONDI FRANCESCO,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA ALESSANDRO VOLTA,1,21055,GORLA MINORE,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,832,CASTELLANZA,0331601133,45.63651,8.89891
7100,FONDAZIONE ONLUS SANTA MARIA DELLA NEVE,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA GIROLAMO ROMANINO,18,25055,PISOGNE,BS,030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,849,VALLECAMONICA-SEBINO,0364/86011,45.80684,10.11118
7101,FONDAZIONE TOSI CIPPELLETTI DI RIVAROLOMANTOVANO,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA GINO AVIGNI,38,46017,RIVAROLO MANTOVANO,MN,030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,882,MANTOVA,037699107,45.0714643,10.4377724
7102,ADI SAN FRANCESCO,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA DON LUIGI ROVELLI,12,27040,PINAROLO PO,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,887,CASTEGGIO,0383/898419,45.07902,9.14274
7103,LA CURA ASSISTENZA SOCIO SANITARIA SOC.COOPSOCIALE,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA SAN MARTINO DELLA BATTAGLIA,9,25121,BRESCIA,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,868,BRESCIA,030/2808712,45.535459,10.2216683
7104,FONDAZIONE ANGELO PASSERINI CASA DI RIPOSO VALSABBINA ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA ANGELO PASSERINI,8,25078,VESTONE,BS,030326,ATS DI BRESCIA,030723,ASST DEL GARDA,875,VALLE SABBIA,0365/81151,45.7038622,10.3864256
7105,FONDAZIONI RIUNITE ONLUS DELLA BASSA BRESCIANA OCCIDENTALE,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA VERONICA GAMBARA,20,25034,ORZINUOVI,BS,030326,ATS DI BRESCIA,030722,ASST DELLA FRANCIACORTA,866,BASSA BRESCIANA OCC.,0309949706,45.40507,9.92734
7106,ITINERIS S.R.L.,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA EUROPA,212,24028,PONTE NOSSA,BG,030325,ATS DI BERGAMO,030720,ASST DI BERGAMO EST,864,VALLE SERIANA/VALLE DI SCALVE,035703563,45.86424,9.88274
7107,FONDAZIONE RESIDENZA BERARDI MANZONI ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA SAN BERNARDINO,63/B,25030,RONCADELLE,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,870,BRESCIA OVEST,030/2780503,45.5296,10.14672
7108,IL PELLICANO SOCIETA' COOPERATIVA SOCIALE ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA PAOLO VERONESE,32,25124,BRESCIA,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,868,BRESCIA,030/3366237,45.5239078,10.2413028
7109,IL GABBIANO,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA GORNO RUFFONI,18,25026,PONTEVICO,BS,030326,ATS DI BRESCIA,030723,ASST DEL GARDA,865,BASSA BRESCIANA CENTR.,0309930282,45.26987,10.08906
7110,"FONDAZIONE CASA DI RIPOSO OSPEDALE DEI POVERI DI PANDINO ONLUS",ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA DELLA VIGNOLA,3,26025,PANDINO,CR,030327,ATS DELLA VAL PADANA,030726,ASST DI CREMA,879,CREMA,0373/970022,45.4097024,9.5487958
7111,AMA ASSISTENZA MEDICA AUSILIARIA,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,NO,VIA FRANCESCO TAMAGNO,17,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332890690,45.81052,8.83727
7112,ADI ASST DEL GARDA,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PUBBLICA,N/A,N/A,N/A,SI,VIA GIOVANNI FALCONE,18,25018,MONTICHIARI,BS,030326,ATS DI BRESCIA,030723,ASST DEL GARDA,867,BASSA BRESCIANA ORIENT.,0309078440-030966123,45.4128734,10.4059265
7113,COMUNITA' MONTANA VALLE SERIANA,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,NO,VIA SANT'ALESSANDRO,74,24023,CLUSONE,BG,030325,ATS DI BERGAMO,030720,ASST DI BERGAMO EST,864,VALLE SERIANA/VALLE DI SCALVE,034622400,45.8849488,9.9453613
7114,SAN GIACOMO SRL,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA ROMA,33,22020,DIZZASCO,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,897,LARIANA OVEST,031/821193,45.9480702,9.0972069
7115,ADI FONDAZIONE CASE DI RIPOSO RIUNITE DI BREGNANO E LOMAZZO,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA DEL LAGHETTO,9,22074,LOMAZZO,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,897,LARIANA OVEST,031/772861,45.7058653,9.0292081
7116,"ASSISTENZA DOMICILIARE INTEGRATA A CURA DELLA "FONDAZIONE GIUSSEPINA PRINA" - ONLUS",ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,PIAZZA GIUSEPPINA PRINA,1,22036,ERBA,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,829,LARIANA EST,031/32116,45.8107059,9.2230927
7117,FONDAZIONE RSA SONCINO ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,LARGO CAPRETTI,2,26029,SONCINO,CR,030327,ATS DELLA VAL PADANA,030726,ASST DI CREMA,879,CREMA,0374/85117,45.40008,9.87584
7118,ISTITUTI RIUNITI AIROLDI E MUZZI ONLUS ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA AIROLDI E MUZZI,2,23900,LECCO,LC,030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,853,LECCO,0341/1885270,45.85318,9.41724
7119,FONDAZIONE SCARPARI FORATTINI ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA GIUSEPPE GARIBALDI,25,46020,SCHIVENOGLIA,MN,030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,882,MANTOVA,038658121,44.9962156,11.0692999
7120,ADI LA CASA DEL SOLE SOC. COOP. SOC. A.R.L.,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA FRA' CRISTOFORO,14/F,20142,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030702,ASST SANTI PAOLO E CARLO,814,MUNICIPIO 6,0289126551,45.4347681,9.1716359
7121,VIDAS-VOLONTARI ITALIANI DOMICILIARI ASSISTENZA AI SOFFERENTI,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,NO,VIA UGO OJETTI,66,20151,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,809,MUNICIPIO 8,023008081,45.4953217,9.1102488
7122,CONSORZIO DOMICARE- SOCIETÀ COOPERATIVA SOCIALE,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA ANGELO RAMAZZOTTI,22/24,20900,MONZA,MB,030324,ATS DELLA BRIANZA,030716,ASST DI MONZA,855,MONZA,039/2494111,45.60204,9.26552
7123,KCS CAREGIVER COOPERATIVA SOCIALE,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA GIULIO BANFI,1,20876,ORNAGO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,857,VIMERCATE,039/6011505,45.59813897,9.43338926
7124,CONSORZIO SANLAB,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA GIUSEPPE PARINI,49,20831,SEREGNO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,856,SEREGNO,03621400031,45.65609,9.20859
7125,SOCIOSFERA ONLUS SOC. COOP. SOCIALE,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA ANTONIO GRAMSCI,9,20831,SEREGNO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,856,SEREGNO,0362/325630,45.63731,9.20656
7126,PII ISTITUTI UNIFICATI,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,PIAZZALE MONSIGNOR BATTISTA CLERICI,6,27011,BELGIOIOSO,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,889,CORTEOLONA,0382-960445,45.15674,9.31378999
7127,ASS.PAVESE PER LA CURA DEL DOLORE LINO SARTORI ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA ALESSANDRO VOLTA,25,27100,PAVIA,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,892,PAVIA,0382-304781,45.18531,9.16183
7128,ADI U.O. VOUCHER SOCIO SANITARI,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,NO,VIA DEI RASCHI,13,23022,CHIAVENNA,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,844,CHIAVENNA,0343/290468,46.31877,9.3969856
7129,FONDAZIONE MOLINA ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIALE LUIGI BORRI,133,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332207311,45.80075,8.84291
7130,A.S.FAR.M. AZIENDA SPECIALE FARMACIA SERVIZI SOCIO SANITARI,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA CARLO MACIACHINI,9,21056,INDUNO OLONA,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,827,ARCISATE,0332206001,45.84972731,8.84254851
7131,ALISEI COOPERATIVA SOCIALE ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,NO,VIALE DELLA REPUBBLICA,44,21052,BUSTO ARSIZIO,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,830,BUSTO ARSIZIO,03311530376,45.62629,8.8322
7132,ASSISTENZA SOCIO SANITARIA COOPERATIVA SOCIALE VILLA PURICELLI - RSA CASA CARDINAL G.LERCARO,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,PIAZZA SENATORE PIETRO PURICELLI,2,21020,BODIO LOMNAGO,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332948982,45.7835413,8.7521332
7133,ADI STUDIO INFERMIERISTICO CAMUNO,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA GIACOMO CAPPELLINI,2,25047,DARFO BOARIO TERME,BS,030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,849,VALLECAMONICA-SEBINO,0364/22846,45.8775087,10.1793453
7134,SERVIZIO ADI FONDAZIONE D. GIAMBONI,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,NO,PIAZZA NICOLINI,1,25048,EDOLO,BS,030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,849,VALLECAMONICA-SEBINO,0364/71123,46.1794875,10.3316185
7135,ADIC - ASSISTENZA DOMICILIARE INTEGRATA CARETTONI,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA ALTA VALLE,1,25050,TEMU',BS,030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,849,VALLECAMONICA-SEBINO,0364/91161,46.24979,10.47345
7136,FONDAZIONE ISTITUTO SACRA FAMIGLIA ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,STRADA DEL VERDE,11,23828,PERLEDO,LC,030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,850,BELLANO,0341/814111,46.0263454,9.2863101
7137,EUROMEDICA ASSISTANCE SRL,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,NO,VIALE BLIGNY,11,20136,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030702,ASST SANTI PAOLO E CARLO,813,MUNICIPIO 5,02 92853126,45.4514923,9.1884503
7138,CON VOI COOPERATIVA SOCIALE ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA ROMA,108,27028,SAN MARTINO SICCOMARIO,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,892,PAVIA,0382/556208,45.158698,9.1369288
7139,ADI NUOVA SAIR,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA EMILIO CORNALIA,10,20124,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,811,MUNICIPIO 2,02/36763540,45.4826691,9.1970908
7140,ADI AQUA,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA ALESSANDRO MANZONI,99/A,25040,ESINE,BS,030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,849,VALLECAMONICA-SEBINO,0364/598726,45.92599,10.24811
7141,ISTITUTO GERIATRICO C.L. GRASSI ONLUS DI VIADANA,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA OSPEDALE VECCHIO,18,46019,VIADANA,MN,030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,882,MANTOVA,0375 781006,44.93096078,10.52189145
7142,CONSORZIO A.S.P.,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA IPPOLITO ROSELLINI,12,20124,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,811,MUNICIPIO 2,02 67382785,45.48929998,9.19447998
7143,COOPERATIVA SOCIALE DI LAVORO OPERATORI SANITARI ASSOCIATI ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA MEDAGLIE D'ORO,2,26013,CREMA,CR,030327,ATS DELLA VAL PADANA,030726,ASST DI CREMA,879,CREMA,N/A,45.3606337,9.6854454
7144,FONDAZIONE CASA DI RIPOSO DI GHEDI ONLUS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA DIECI GIORNATE,76,25016,GHEDI,BS,030326,ATS DI BRESCIA,030723,ASST DEL GARDA,865,BASSA BRESCIANA CENTR.,030/902195,45.40654,10.26769
7145,OMNIA SERVIZI COOPERATIVA SOCIALE,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,NO,VIA SALVATORE ROSA,24,21052,BUSTO ARSIZIO,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,830,BUSTO ARSIZIO,0331386507,45.61738,8.83866
7146,ADI UNIVERSIIS,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA GOFFREDO MAMELI,1,21010,CARDANO AL CAMPO,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,839,SOMMA LOMBARDO,0332/285820,45.64474883,8.77166597
7147,FONDAZIONE CASA DI RIPOSO DI PONTE SAN PIETRO,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,VIA GIACOMO MATTEOTTI,5,24036,PONTE SAN PIETRO,BG,030325,ATS DI BERGAMO,030719,ASST DI BERGAMO OVEST,862,ISOLA BERGAMASCA,035611055,45.6981451,9.5864293
7148,CENTRO SANITARIO DE.PA,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,NO,VIA GIUSEPPE VERDI,37,27029,VIGEVANO,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,893,VIGEVANO,0381-903166,45.32395,8.86259
7149,LAM CENTRO BIOMEDICO ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,PIAZZALE PIERO GOBETTI,SNC,20062,CASSANO D'ADDA,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030708,ASST MELEGNANO E DELLA MARTESANA,820,MELZO,N/A,45.52809,9.50794
7150,MED HOUSE,ASSISTENZA DOMICILIARE INTEGRATA,ASSISTENZA DOMICILIARE,PRIVATA,N/A,N/A,N/A,SI,CORSO GIACOMO MATTEOTTI,26,21049,TRADATE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,841,TRADATE,0331/811709,45.7149843,8.903491
7151,RSA DI RONCAGLIA DI CIVO,RESIDENZE SOCIOSANITARIE ASSISTENZIALI PER ANZIANI,ASSISTENZA ANZIANI,PRIVATA,N/A,N/A,N/A,SI,FRAZIONE RONCAGLIA DI SOTTO,114,23010,CIVO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,846,MORBEGNO,0342 - 6580,46.1593478,9.5730754
7152,CSS ALFIERI,COMUNITÀ SOCIO SANITARIA,ASSISTENZA DISABILI,PRIVATA,N/A,N/A,N/A,SI,VIA VITTORIO ALFIERI,27,20090,TREZZANO SUL NAVIGLIO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030706,ASST RHODENSE,807,CORSICO,0249790093,45.4286043,9.0585897
7153,ABC...ZETA SOC.COOP.SOCIALE,UNITÀ OPERATIVA CURE PALLIATIVE DOMICILIARI,ASSISTENZA CURE PALLIATIVE,PRIVATA,N/A,N/A,N/A,NO,VIALE ABRUZZI,37,20131,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,895,MUNICIPIO 3,02/45481129,45.4794136,9.2168214
7154,CONSORZIO ALLEANZA SOCIALE PROTAGONISTA,UNITÀ OPERATIVA CURE PALLIATIVE DOMICILIARI,ASSISTENZA CURE PALLIATIVE,PRIVATA,N/A,N/A,N/A,N/A,VIA IPPOLITO ROSELLINI,12,20124,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,811,MUNICIPIO 2,02/36564139,45.4893718,9.1946306
